"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2017.E","2019.E","2021.E","2020.E","2018.E","2016.E","2016.B","2017.B"
"032","AG","USM",38999.13184,36092.854276,42672.854622,NA,34340.834497,36995.27464,35573.998099,55040.98208,NA,NA,NA,NA,NA,NA,NA,NA
"032","AGFO","USM",38265.318189,35612.11776,42090.795355,NA,33520.475785,36379.146644,34928.299852,54298.913209,NA,NA,NA,NA,NA,NA,NA,NA
"032","MA","USM",10788.294774,7922.739852,10563.055197,NA,11988.090264,14831.327883,16148.07673,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MACH","USM",3548.976513,3097.413756,3952.173685,NA,4283.870916,5615.648974,5501.455108,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MACHPH","USM",720.714733,708.429324,811.481333,NA,722.011403,1028.700684,888.878881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MACL","USM",29.873397,21.269529,28.554816,NA,26.527965,38.448951,38.794229,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAIS","USM",54.219588,36.527534,8.462653,NA,47.968955,414.39419,634.41047,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMT","USM",5302.160266,3558.255894,5410.212252,NA,5796.262542,6633.314388,7698.124254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMTAU","USM",4451.267784,2917.614363,4891.807158,NA,4987.365132,5173.773181,5949.610194,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMTOF","USM",46.96501,38.340564,22.173894,NA,39.36144,53.168561,67.67783,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMTOTEP","USM",13.422387,7.471681,6.456031,NA,15.502986,15.36051,16.076612,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMTOTIC","USM",4.551975,3.504109,3.080887,NA,2.343199,2.440634,2.828865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMTOTTL","USM",28.990648,27.364774,12.636976,NA,21.515255,35.367417,48.772353,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MAMTTE","USM",4629.601278,3026.512714,4995.765648,NA,5142.135634,5661.981905,6708.550913,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MATE","USM",99.188723,64.24394,69.502443,NA,105.177579,112.133967,113.503999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MI","USM",2629.479519,1589.971849,2103.233723,NA,2828.510317,3305.567931,3488.606758,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","MIFU","USM",2342.668324,1470.331198,2059.642697,NA,2535.819361,1444.823584,1626.000362,NA,NA,NA,NA,NA,NA,NA,NA,NA
"032","TO","USM",65116,54884,77935,NA,61781,57910,58644,88445,NA,NA,NA,NA,NA,NA,NA,NA
"036","AG","USM",35184.068593,31427.218984,46716.100448,NA,36471.719862,33828.211411,42118.307391,55866.654506,NA,NA,NA,NA,NA,NA,NA,NA
"036","AGFO","USM",29497.481494,27925.423607,37974.940187,NA,29927.09237,27822.773032,32381.059362,45262.422598,NA,NA,NA,NA,NA,NA,NA,NA
"036","MA","USM",29650.537254,25921.93554,28106.573426,NA,28677.425976,25985.943146,27028.60808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MACH","USM",8287.471062,7652.735339,7575.111809,NA,7808.191507,6242.751394,6624.587782,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MACHPH","USM",4339.774347,3821.000383,2721.557719,NA,3533.807735,2593.166696,2663.377245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MACL","USM",263.053858,264.495339,360.28471,NA,249.822948,244.089922,251.096394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAIS","USM",811.120736,629.761889,597.417889,NA,765.979724,450.051743,703.959071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMT","USM",11826.634588,10149.095565,11139.095164,NA,11448.891134,11523.120989,11241.220115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMTAU","USM",1310.913526,1097.570951,1345.136771,NA,1249.343016,2226.807087,1725.313547,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMTOF","USM",3033.885245,2639.48516,3029.498549,NA,2671.053835,2588.600314,2666.050646,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMTOTEP","USM",1107.488107,1014.718779,1215.699148,NA,1107.879399,1166.958268,1081.834012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMTOTIC","USM",205.995521,188.858438,239.321907,NA,214.464416,132.109364,181.134492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMTOTTL","USM",1720.401617,1435.907943,1574.477494,NA,1348.71002,1289.532682,1403.082142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MAMTTE","USM",3952.921764,3119.000891,3224.346643,NA,3879.646464,4323.101701,3813.73542,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MATE","USM",212.204037,189.800825,249.857896,NA,202.465747,201.115501,209.142395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","MI","USM",184307.639753,169107.553249,241300.983924,NA,170950.778011,112244.908522,142276.754019,298956.321452,NA,NA,NA,NA,NA,NA,NA,NA
"036","MIFU","USM",87818.520243,61250.728593,94764.767588,NA,91080.372374,50414.227866,69889.972755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036","TO","USM",271004.994605,250823.124354,344864.496836,NA,257097.524004,192504.504533,231130.832569,412561.831666,NA,NA,NA,NA,NA,NA,NA,NA
"040","AG","USM",17979.893001,18253.447161,21313.393712,NA,18190.453886,15252.723667,16593.533417,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","AGFO","USM",14108.344332,14774.370494,16416.107268,NA,14008.638195,11879.669061,12954.523138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MA","USM",149262.521592,139226.043214,164845.398009,NA,154693.723277,127989.894329,141188.943757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MACH","USM",24510.612368,25706.953572,30429.254333,NA,23923.337297,20012.006265,22809.893176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"040","MACHPH","USM",12482.608633,13639.27261,14837.20273,NA,11057.242416,9303.701386,11231.474891,NA,NA,NA,NA,NA,NA,NA,NA,NA
