"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2020.E","2021.E","2019.E","2017.E","2018.E","2016.E","2016.B","2017.B"
"024","MAMTOTTL","USM",201.125505,144.96078,191.255474,NA,237.703565,184.329229,220.109013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTTE","USM",2458.16587,960.348191,910.331245,NA,2277.428002,707.853378,1113.470588,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MATE","USM",125.578433,128.98569,305.484151,NA,136.279642,83.784143,142.420219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MI","USM",2098.276563,985.679307,1899.47784,NA,2521.040068,1650.388342,1779.522652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MIFU","USM",1999.008246,927.775471,1837.836791,NA,2415.530856,1575.035302,1667.433055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","TO","USM",13961.640425,9337.925708,11378.92792,NA,15797.847,13040.490878,14463.243,17802.935241,NA,NA,NA,NA,NA,NA,NA,NA
"028","AG","USM",162.423302,NA,NA,NA,168.850781,121.40903,154.816773,NA,132.72556,160.2434,NA,NA,NA,NA,NA,NA
"028","AGFO","USM",151.309654,NA,NA,NA,155.862105,112.777987,145.088596,NA,126.598265,148.302815,NA,NA,NA,NA,NA,NA
"028","MA","USM",377.784551,NA,NA,NA,381.461477,283.768994,369.932989,NA,302.649317,421.838947,NA,NA,NA,NA,NA,NA
"028","MACH","USM",45.91056,NA,NA,NA,45.757499,33.391006,41.437131,NA,39.672329,50.979911,NA,NA,NA,NA,NA,NA
"028","MACHPH","USM",10.79664,NA,NA,NA,10.32158,6.610083,8.31934,NA,9.393513,15.735588,NA,NA,NA,NA,NA,NA
"028","MACL","USM",10.027837,NA,NA,NA,11.205549,8.804389,9.84249,NA,6.33159,9.771316,NA,NA,NA,NA,NA,NA
"028","MAIS","USM",12.128854,NA,NA,NA,11.343576,8.617916,7.757971,NA,4.757552,8.174985,NA,NA,NA,NA,NA,NA
"028","MAMT","USM",153.553764,NA,NA,NA,150.962825,119.124631,148.550091,NA,136.741782,217.645857,NA,NA,NA,NA,NA,NA
"028","MAMTAU","USM",49.091215,NA,NA,NA,53.667598,48.342652,44.866596,NA,24.256458,25.226805,NA,NA,NA,NA,NA,NA
"028","MAMTOF","USM",20.828768,NA,NA,NA,21.809285,15.998947,20.159278,NA,14.875184,17.04847,NA,NA,NA,NA,NA,NA
"028","MAMTOTEP","USM",7.085407,NA,NA,NA,7.313775,5.130689,8.735712,NA,4.836221,7.593029,NA,NA,NA,NA,NA,NA
"028","MAMTOTIC","USM",0.521622,NA,NA,NA,1.953025,3.697212,1.706207,NA,0.335925,1.051034,NA,NA,NA,NA,NA,NA
